(x[0],y[0]) = (  -0.7821129799,   1.5276432037 )  -22.2696565688
(x[1],y[1]) = (  -2.5689029694,   0.5701309204 )  -17.2994802587
(x[2],y[2]) = (   0.9239059448,  -0.4236022949 )  -10.2638443787
(x[0],y[0]) = (  -1.6755079746,   1.0488870621 )  -22.5531823516
(x[1],y[1]) = (  -0.7821129799,   1.5276432037 )  -22.2696565688
(x[2],y[2]) = (   0.0708964825,   0.5520204544 )   -4.2474159519
(x[0],y[0]) = (  -1.6755079746,   1.0488870621 )  -22.5531823516
(x[1],y[1]) = (  -0.7821129799,   1.5276432037 )  -22.2696565688
(x[2],y[2]) = (  -0.5789569974,   0.9201427937 )  -11.1041324521
(x[0],y[0]) = (  -1.8786639571,   1.6563874722 )  -22.9349238307
(x[1],y[1]) = (  -1.6755079746,   1.0488870621 )  -22.5531823516
(x[2],y[2]) = (  -0.7821129799,   1.5276432037 )  -22.2696565688
(x[0],y[0]) = (  -1.2795994729,   1.4401402354 )  -23.6605366927
(x[1],y[1]) = (  -1.8786639571,   1.6563874722 )  -22.9349238307
(x[2],y[2]) = (  -1.6755079746,   1.0488870621 )  -22.5531823516
(x[0],y[0]) = (  -1.4827554554,   2.0476406455 )  -24.1937876807
(x[1],y[1]) = (  -1.2795994729,   1.4401402354 )  -23.6605366927
(x[2],y[2]) = (  -1.8786639571,   1.6563874722 )  -22.9349238307
(x[0],y[0]) = (  -0.3862044781,   1.9188963771 )  -26.6995643224
(x[1],y[1]) = (  -1.4827554554,   2.0476406455 )  -24.1937876807
(x[2],y[2]) = (  -1.2795994729,   1.4401402354 )  -23.6605366927
(x[0],y[0]) = (  -0.3862044781,   1.9188963771 )  -26.6995643224
(x[1],y[1]) = (  -0.5893604606,   2.5263967872 )  -25.8810810358
(x[2],y[2]) = (  -1.4827554554,   2.0476406455 )  -24.1937876807
(x[0],y[0]) = (   0.5071905166,   2.3976525187 )  -29.7976906709
(x[1],y[1]) = (  -0.3862044781,   1.9188963771 )  -26.6995643224
(x[2],y[2]) = (  -0.5893604606,   2.5263967872 )  -25.8810810358
(x[0],y[0]) = (   0.5071905166,   2.3976525187 )  -29.7976906709
(x[1],y[1]) = (   0.7103464991,   1.7901521087 )  -28.3349273729
(x[2],y[2]) = (  -0.3862044781,   1.9188963771 )  -26.6995643224
(x[0],y[0]) = (   0.5071905166,   2.3976525187 )  -29.7976906709
(x[1],y[1]) = (   0.7103464991,   1.7901521087 )  -28.3349273729
(x[2],y[2]) = (   0.1112820148,   2.0063993454 )  -28.3099610866
(x[0],y[0]) = (   1.1062550008,   2.1814052820 )  -30.6103500435
(x[1],y[1]) = (   0.5071905166,   2.3976525187 )  -29.7976906709
(x[2],y[2]) = (   0.7103464991,   1.7901521087 )  -28.3349273729
(x[0],y[0]) = (   1.1062550008,   2.1814052820 )  -30.6103500435
(x[1],y[1]) = (   0.7585346289,   2.0398405045 )  -30.5272252693
(x[2],y[2]) = (   0.5071905166,   2.3976525187 )  -29.7976906709
